"Name","Ozone","Solar.R","Wind","Temp","Month","Day"
"Sensor1",41,190,7.4,67,5,1
"Sensor2",36,118,8,72,5,2
"Sensor3",12,149,12.6,74,5,3
"Sensor4",18,313,11.5,62,5,4
"Sensor5",NA,NA,14.3,56,5,5
"Sensor6",28,NA,14.9,66,5,6
"Sensor7",23,299,8.6,65,5,7
"Sensor8",19,99,13.8,59,5,8
"Sensor9",8,19,20.1,61,5,9
"Sensor10",NA,194,8.6,69,5,10
"Sensor11",7,NA,6.9,74,5,11
"Sensor12",16,256,9.7,69,5,12
"Sensor13",11,290,9.2,66,5,13
"Sensor14",14,274,10.9,68,5,14
"Sensor15",18,65,13.2,58,5,15
"Sensor16",14,334,11.5,64,5,16
"Sensor17",34,307,12,66,5,17
"Sensor18",6,78,18.4,57,5,18
"Sensor19",30,322,11.5,68,5,19
"Sensor20",11,44,9.7,62,5,20
"Sensor21",1,8,9.7,59,5,21
"Sensor22",11,320,16.6,73,5,22
"Sensor23",4,25,9.7,61,5,23
"Sensor24",32,92,12,61,5,24
"Sensor25",NA,66,16.6,57,5,25
"Sensor26",NA,266,14.9,58,5,26
"Sensor27",NA,NA,8,57,5,27
"Sensor28",23,13,12,67,5,28
"Sensor29",45,252,14.9,81,5,29
"Sensor30",115,223,5.7,79,5,30
"Sensor31",37,279,7.4,76,5,31
"Sensor32",NA,286,8.6,78,6,1
"Sensor33",NA,287,9.7,74,6,2
"Sensor34",NA,242,16.1,67,6,3
"Sensor35",NA,186,9.2,84,6,4
"Sensor36",NA,220,8.6,85,6,5
"Sensor37",NA,264,14.3,79,6,6
"Sensor38",29,127,9.7,82,6,7
"Sensor39",NA,273,6.9,87,6,8
"Sensor40",71,291,13.8,90,6,9
"Sensor41",39,323,11.5,87,6,10
"Sensor42",NA,259,10.9,93,6,11
"Sensor43",NA,250,9.2,92,6,12
"Sensor44",23,148,8,82,6,13
"Sensor45",NA,332,13.8,80,6,14
"Sensor46",NA,322,11.5,79,6,15
"Sensor47",21,191,14.9,77,6,16
"Sensor48",37,284,20.7,72,6,17
"Sensor49",20,37,9.2,65,6,18
"Sensor50",12,120,11.5,73,6,19
"Sensor51",13,137,10.3,76,6,20
"Sensor52",NA,150,6.3,77,6,21
